category_clean,rank_global,title,shop_name,source,price,price_tier,rating_filled,composite_score,discount_pct,available,nb_reviews,nb_variants,product_url
mens graphic tops,167,Pearl Harbor Commemorative Tee (Heather Navy),born_primitive,shopify,19.2,budget,4.7,0.8982,40.0,True,0,7,https://bornprimitive.com/products/pearl-harbor-commemorative-tee
mens graphic tops,168,Modern Savage T-Shirt (Midnight Navy),born_primitive,shopify,19.2,budget,4.7,0.8982,40.0,True,0,7,https://bornprimitive.com/products/modern-savage-t-shirt-midnight-navy
mens graphic tops,169,Death Fears the Strong Tee (Black),born_primitive,shopify,19.2,budget,4.7,0.8974,40.0,True,0,7,https://bornprimitive.com/products/death-fears-the-strong-tee-black
mens graphic tops,170,No Weight Classes In The Jungle T-Shirt (Heavy Metal),born_primitive,shopify,19.2,budget,4.7,0.8974,40.0,True,0,7,https://bornprimitive.com/products/no-weight-classes-in-the-jungle-t-shirt-heavy-metal
mens graphic tops,171,Hungriest Man Eats Tee (Black),born_primitive,shopify,19.2,budget,4.7,0.8974,40.0,True,0,7,https://bornprimitive.com/products/hungriest-man-eats-tee-black
mens graphic tops,172,Brand Tee (Thin Red Line),born_primitive,shopify,19.2,budget,4.7,0.8974,40.0,True,0,7,https://bornprimitive.com/products/brand-tee-thin-red-line-1
womens shorts,86,Women's Cheeky Freedom Jean Short,born_primitive,shopify,20.0,budget,4.7,0.9282,60.0,True,0,7,https://bornprimitive.com/products/womens-cheeky-freedom-jean-shorts
womens shorts,148,Cadence Short (Deep Plum),born_primitive,shopify,20.25,budget,4.7,0.9026,55.0,True,0,6,https://bornprimitive.com/products/cadence-short-deep-plum
womens shorts,159,FLEX Stretchy Jean Short (Vintage American Flag),born_primitive,shopify,33.0,budget,4.7,0.8997,40.0,True,0,7,https://bornprimitive.com/products/flex-stretchy-jean-short-american-flag
womens shorts,219,Interval Short (Citadel),born_primitive,shopify,31.2,budget,4.7,0.8765,40.0,True,0,6,https://bornprimitive.com/products/interval-short-citadel
womens shorts,235,Tempo Biker Short (Oatmeal),born_primitive,shopify,27.0,budget,4.7,0.8749,40.0,True,0,6,https://bornprimitive.com/products/tempo-biker-short-oatmeal
womens shorts,237,Free Flow Short (Thin Red Line),born_primitive,shopify,27.0,budget,4.7,0.8749,40.0,True,0,6,https://bornprimitive.com/products/free-flow-short-thin-red-line
womens shorts,240,Double Take Booty Short (Fig),born_primitive,shopify,27.0,budget,4.7,0.8749,40.0,True,0,6,https://bornprimitive.com/products/double-take-booty-short-fig
womens shorts,241,Women's Unmatched Short (BP Navy),born_primitive,shopify,30.0,budget,4.7,0.8749,40.0,True,0,6,https://bornprimitive.com/products/womens-unmatched-short-bp-navy
womens shorts,258,Women's Cloud Short (OD Green),born_primitive,shopify,30.0,budget,4.7,0.8741,40.0,True,0,6,https://bornprimitive.com/products/womens-cloud-short-od-green
womens shorts,1013,FLEX Stretchy Mom Jean Short (White),born_primitive,shopify,55.0,mid_range,4.4,0.7314,0.0,True,0,6,https://bornprimitive.com/products/flex-stretchy-mom-jean-short-white
discountable,98,Synergy Full Length Legging w/ Pockets 2.0 Set (Olive),born_primitive,shopify,95.2,premium,4.8,0.9156,15.0,True,0,36,https://bornprimitive.com/products/synergy-full-length-legging-w-pockets-2-0-set-olive
discountable,99,Training Hoodie Set (Gunmetal),born_primitive,shopify,102.0,premium,4.8,0.9156,15.0,True,0,108,https://bornprimitive.com/products/training-hoodie-set-gunmetal
discountable,100,Lounge Lux Short Set (Java),born_primitive,shopify,97.75,premium,4.8,0.9156,15.0,True,0,36,https://bornprimitive.com/products/lounge-lux-short-set-java
discountable,101,Women's Revive Cloud Short Set (Paloma Grey),born_primitive,shopify,102.0,premium,4.8,0.9156,15.0,True,0,36,https://bornprimitive.com/products/womens-revive-cloud-short-set-heather-grey
discountable,102,Limitless Legging Set 2.0 (Black),born_primitive,shopify,97.75,premium,4.8,0.9156,15.0,True,0,54,https://bornprimitive.com/products/limitless-legging-set-2-0-black
discountable,103,Limitless Legging Set (Black),born_primitive,shopify,97.75,premium,4.8,0.9156,15.0,True,0,54,https://bornprimitive.com/products/black-limitless-legging-set
discountable,104,Training Full Zip Hoodie Set (Gunmetal),born_primitive,shopify,106.25,premium,4.8,0.9155,15.0,True,0,108,https://bornprimitive.com/products/training-full-zip-hoodie-set-gunmetal
discountable,106,Women's Cloud Jogger Set (Fuchsia),born_primitive,shopify,127.5,premium,4.8,0.9153,15.0,True,0,36,https://bornprimitive.com/products/womens-cloud-jogger-set-fuchsia
discountable,107,Women’s Cloud Jogger Set (BP Navy),born_primitive,shopify,127.5,premium,4.8,0.9153,15.0,True,0,36,https://bornprimitive.com/products/women-s-cloud-jogger-set-bp-navy
discountable,108,Women’s Cloud Short Set (BP Navy),born_primitive,shopify,102.0,premium,4.8,0.9148,15.0,True,0,36,https://bornprimitive.com/products/women-s-cloud-short-set-bp-navy
bottoms,105,Men's Unmatched Crew Set (BP Navy),born_primitive,shopify,114.75,premium,4.8,0.9154,15.0,True,0,36,https://bornprimitive.com/products/mens-unmatched-crew-set-bp-navy
bottoms,364,Icon Pant | Black Classic-Fit Enduratech™,cuts_clothing,shopify,124.0,premium,4.8,0.8679,0.0,True,0,12,https://cutsclothing.com/products/icon-pant-black
bottoms,371,AO 5-Pocket Pant | Iron Navy Slim-Fit Versaknit®,cuts_clothing,shopify,124.0,premium,4.8,0.8663,0.0,True,0,12,https://cutsclothing.com/products/ao-5-pocket-pant-iron-navy
bottoms,372,AO 5-Pocket Pant | Santal Slim-Fit Versaknit®,cuts_clothing,shopify,124.0,premium,4.8,0.8663,0.0,True,0,12,https://cutsclothing.com/products/ao-5-pocket-pant-santal
bottoms,377,AO 5-Pocket Pant | Black Slim-Fit Versaknit®,cuts_clothing,shopify,124.0,premium,4.8,0.8655,0.0,True,0,12,https://cutsclothing.com/products/ao-5-pocket-pant-black
bottoms,379,Icon Pant | Slate Classic-Fit Enduratech™,cuts_clothing,shopify,124.0,premium,4.8,0.8655,0.0,True,0,12,https://cutsclothing.com/products/icon-pant-slate
bottoms,380,AO 5-Pocket Pant | Deep Olive Slim-Fit Versaknit®,cuts_clothing,shopify,124.0,premium,4.8,0.8655,0.0,True,0,12,https://cutsclothing.com/products/ao-5-pocket-pant-deep-olive
bottoms,383,Icon Pant | Steel Classic-Fit Enduratech™,cuts_clothing,shopify,124.0,premium,4.8,0.8647,0.0,True,0,12,https://cutsclothing.com/products/icon-pant-steel
